Date,ATemp,AHumid,ALux,ACO2
1-Jan,25.9205445,52.04351519,480.5095359,544.8128591
2-Jan,24.35361111,55.30295139,415.7708334,474.7673611
3-Jan,23.88726563,57.37065972,312.5546875,482.9001736
4-Jan,23.89243056,57.07204861,315.2847222,483.8385417
5-Jan,25.76235674,56.9880961,142.5484776,448.7728305
6-Jan,25.47391655,58.97110486,58.24250289,453.8007317
7-Jan,24.02868582,57.56419982,249.2760477,567.9066493
8-Jan,24.11817307,59.13496919,321.7720166,567.9804007
9-Jan,24.46050648,61.17301038,336.4244371,561.7194919
10-Jan,23.76922008,59.3627958,226.3999347,590.9971841
11-Jan,23.61047426,59.30255215,261.3261862,572.3486529
12-Jan,25.45133862,60.36979167,184.7514851,479.3111631
13-Jan,26.1730463,60.41943114,175.1150249,458.6871371
14-Jan,24.37483073,57.97483818,325.2530208,562.6077034
15-Jan,24.24150558,58.54536116,337.7021068,578.5681168
16-Jan,24.30518229,59.05989584,352.2855903,583.2543403
17-Jan,24.18262355,58.48589032,302.0462701,576.6297547
18-Jan,24.16162998,58.37857961,325.2235825,557.0986272
19-Jan,25.48444337,58.63379485,87.70364326,466.1107739
20-Jan,25.90675273,59.31053857,109.0495774,452.3279671
21-Jan,24.42518126,58.68099714,274.203609,557.9194584
22-Jan,24.43663471,58.67308848,350.8432604,577.2148603
23-Jan,24.15696381,58.6855372,294.8679642,579.4474267
24-Jan,24.01032263,58.98957124,266.0316099,585.1699
25-Jan,24.18623988,59.40565076,344.3146757,570.8641587
26-Jan,26.06506824,60.08478561,138.2626605,470.8596776
27-Jan,26.73801215,59.71527778,168.7131152,436.4811111
28-Jan,27.32479016,58.94991926,253.7152669,431.012646
29-Jan,26.08793489,57.90277415,334.4931176,527.8791073
30-Jan,25.01476312,57.73954099,307.8442279,571.1077236
31-Jan,24.76587386,57.22305987,321.8808332,575.5865386
1-Feb,23.94648346,57.80681602,257.6697273,581.1000091
2-Feb,25.33878972,59.57285567,133.2856128,477.0342192
3-Feb,26.54193562,59.26148065,249.0939206,450.32518
4-Feb,24.70649645,57.75271739,332.9515776,557.7663798
5-Feb,24.35585938,58.01388889,309.0286458,583.6440972
6-Feb,25.01354338,59.41785638,103.9997996,539.3294832
7-Feb,24.03519022,58.30443599,403.2146482,600.4250324
8-Feb,24.05303979,58.40956479,321.9119045,575.5496384
9-Feb,24.44803662,58.46156881,290.9729932,546.4143903
10-Feb,26.07944818,54.90318985,184.1138469,450.5239364
11-Feb,24.41837518,54.44428217,309.9826221,552.7044015
12-Feb,24.17022915,46.3060031,316.2224084,556.9674915
13-Feb,24.09778304,50.85176648,335.7834943,547.9578842
14-Feb,23.80572403,52.92642292,295.1191292,548.7976554
15-Feb,23.71804512,54.35444623,319.2392701,557.1423655
16-Feb,25.43364844,53.6832032,146.833238,458.8362309
17-Feb,26.33265124,55.23346158,188.1257306,442.792438
18-Feb,24.59710292,56.19506686,333.7609269,552.7100037
19-Feb,24.23159593,57.17411873,284.3472012,581.0198872
20-Feb,23.76141217,58.17895063,234.0159738,602.4117957
21-Feb,23.62474827,58.82291667,243.4244792,607.1388889
22-Feb,23.52158213,58.51091985,309.0920727,589.8781427
23-Feb,24.35428008,58.24615844,75.61181585,461.1567289
24-Feb,25.15308078,54.81149488,179.9037098,438.2174525
25-Feb,23.95926384,53.91259717,374.4298266,548.49033
26-Feb,23.77315198,55.16855327,411.8089504,579.8911881
27-Feb,23.80808233,56.87606367,350.5531959,577.699176
28-Feb,23.85219395,57.09893429,354.5258599,566.917064
1-Mar,23.84360851,57.45723541,328.6405736,554.6877783
2-Mar,25.46897799,58.04823572,134.4051669,443.2980948
3-Mar,26.35613715,55.61892361,188.6137153,423.4114583
4-Mar,24.58391818,56.71000337,326.7606209,536.592918
5-Mar,24.30363344,57.48152282,333.3400298,567.1772074
6-Mar,24.0262801,56.38671124,300.0794436,564.0086235
7-Mar,23.70848078,53.42467479,243.1616417,563.9665615
8-Mar,23.72094523,56.018227,328.3859803,547.9120022
9-Mar,24.93181061,59.3846454,84.70398699,465.3263254
10-Mar,25.67426216,59.54079861,137.1692708,447.6137153
11-Mar,24.49257747,57.45992827,299.0777585,548.7406316
12-Mar,24.25589525,56.69449586,334.5599382,564.8769237
13-Mar,23.89479151,57.70444198,238.6403837,601.8569051
14-Mar,23.81835225,58.48384503,287.6937866,555.5950749
